Geography,Geographic Area Name,Estimate!!Total!!HOUSEHOLDS!!Total households
860Z200US02670,ZCTA5 02670,780
860Z200US02671,ZCTA5 02671,405
860Z200US02672,ZCTA5 02672,28
860Z200US02673,ZCTA5 02673,3870
860Z200US02675,ZCTA5 02675,3208
860Z200US02702,ZCTA5 02702,1635
860Z200US02703,ZCTA5 02703,17993
860Z200US02713,ZCTA5 02713,18
860Z200US02715,ZCTA5 02715,1367
860Z200US02717,ZCTA5 02717,1608
860Z200US02718,ZCTA5 02718,2502
860Z200US02719,ZCTA5 02719,6985
860Z200US02720,ZCTA5 02720,13830
860Z200US02721,ZCTA5 02721,11157
860Z200US02723,ZCTA5 02723,7605
860Z200US02724,ZCTA5 02724,8289
860Z200US02725,ZCTA5 02725,846
860Z200US02726,ZCTA5 02726,6498
860Z200US02738,ZCTA5 02738,2047
860Z200US02739,ZCTA5 02739,2982
860Z200US02740,ZCTA5 02740,19467
860Z200US02743,ZCTA5 02743,4070
860Z200US02744,ZCTA5 02744,5173
860Z200US02745,ZCTA5 02745,10251
860Z200US02746,ZCTA5 02746,6731
860Z200US02747,ZCTA5 02747,7095
860Z200US02748,ZCTA5 02748,4834
860Z200US02760,ZCTA5 02760,11925
860Z200US02762,ZCTA5 02762,4213
860Z200US02763,ZCTA5 02763,688
860Z200US02764,ZCTA5 02764,1544
860Z200US02766,ZCTA5 02766,6588
