Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 03/18 03:00:00,0.407003269449,1.20709904809,0.0,1.18358413836,0.0,0.020538080924299998,0.020538080924299998,0.020538080924299998,0.0236947292974,0.00425699856787,0.0425700903995,0.24518843831700002,0.06022493194299999
 03/18 04:00:00,0.435609633794,1.2519262156200002,0.0,1.22235942736,0.0,0.0212109270682,0.0212109270682,0.0212109270682,0.0236947292974,0.00425699856787,0.0429105286091,0.235926412241,0.0970800380105
 03/18 05:00:00,0.632158857732,1.23224412242,0.0,1.19412903619,0.0,0.0207210607042,0.0207210607042,0.0207210607042,0.0255174000776,0.004584459869630001,0.0450569114029,0.263274914433,0.262474111245
 03/18 06:00:00,1.00258588025,1.1039332681,0.0,1.03627324771,0.0,0.017981876515,0.017981876515,0.017981876515,0.040098775474300005,0.00720415192867,0.05195589407219999,0.30418827371199997,0.570626908545
 03/18 07:00:00,1.1518752403599999,1.02208864352,0.0,0.9197175345890001,0.0,0.015959349691099998,0.015959349691099998,0.015959349691099998,0.07108419704800001,0.012770997348499999,0.0614610617892,0.323222831237,0.641846803251
 03/18 08:00:00,1.03532403755,0.8761608867470001,0.0,0.7705526979549999,0.0,0.0133709747826,0.0133709747826,0.0133709747826,0.0565028185994,0.0101513047412,0.0699152063704,0.2732662339,0.60158749916
 03/18 09:00:00,0.884776494068,0.749835363537,0.0,0.642998810604,0.0,0.011157602724200001,0.011157602724200001,0.011157602724200001,0.0291627416378,0.00523938247316,0.0732760434923,0.232571662639,0.5228390611020001
 03/18 10:00:00,0.794685863336,0.48767515991800003,0.0,0.391156412068,0.0,0.00678752087391,0.00678752087391,0.00678752087391,0.0236947292974,0.00425699856787,0.0690396320483,0.238041363077,0.442335619471
 03/18 11:00:00,0.7217020509559999,0.260653649394,0.0,0.150772339083,0.0,0.00261626900942,0.00261626900942,0.00261626900942,0.0236947292974,0.00425699856787,0.0680141542672,0.238114292416,0.374475607398
 03/18 12:00:00,0.665679949588,0.16129055228800002,0.0,0.0383272721685,0.0,0.0006650719555079999,0.0006650719555079999,0.0006650719555079999,0.0236947292974,0.00425699856787,0.0696477735838,0.234103178762,0.322782197421
 03/18 13:00:00,0.6390930180659999,0.103473680384,0.0,0.0,0.0,0.0,0.0,0.0,0.0236947292974,0.00425699856787,0.0679451679306,0.24219833540999997,0.29046778686
 03/18 14:00:00,0.622365499768,0.100405283192,0.0,0.0,0.0,0.0,0.0,0.0,0.0236947292974,0.00425699856787,0.06480334436480001,0.255836121837,0.263244305701
 03/18 15:00:00,0.650156614508,0.139625981595,0.0,0.014192483999100001,0.0,0.000246274325114,0.000246274325114,0.000246274325114,0.027340070857700002,0.0049119211714,0.0670981930519,0.27005734297600004,0.269972812126
 03/18 16:00:00,0.767986048299,0.19563231504599998,0.0,0.0,0.0,0.0,0.0,0.0,0.041921440150599995,0.00753161213383,0.0764837956789,0.31943050559999997,0.312088694736
 03/18 17:00:00,0.9930674568089999,0.559766478066,0.0,0.249857049642,0.0,0.00433563118899,0.00433563118899,0.00433563118899,0.0838428803013,0.0150632242677,0.09358748545830001,0.38805701376699997,0.397651221827
 03/18 18:00:00,1.22389368856,0.249411871163,0.0,0.0,0.0,0.0,0.0,0.0,0.162217766574,0.029144067919900003,0.0956254121941,0.421312792432,0.47506364943999996
 03/18 19:00:00,1.30712931151,0.143445638018,0.0,0.0,0.0,0.0,0.0,0.0,0.242415287003,0.043552366294099996,0.0879353232816,0.434877649519,0.487818685407
 03/18 20:00:00,1.2919247572900001,0.0977119293362,0.0,0.0,0.0,0.0,0.0,0.0,0.260641994805,0.0468269793118,0.0783570511729,0.44982816405000003,0.445740567953
 03/18 21:00:00,1.1698303862200001,0.123113322328,0.0,0.0461686914216,0.0,0.0008011397667949999,0.0008011397667949999,0.0008011397667949999,0.218720554654,0.0392953671779,0.07120257812210001,0.439326339209,0.389954407289
 03/18 22:00:00,0.959277921071,0.261539130168,0.0,0.206039903567,0.0,0.00357529648798,0.00357529648798,0.00357529648798,0.16404043125,0.029471528125,0.06218444132680001,0.380180645135,0.309295578746
 03/18 23:00:00,0.754250682181,0.47525919200000005,0.0,0.43253436931100003,0.0,0.0075055296802,0.0075055296802,0.0075055296802,0.114828301875,0.0206300696875,0.0544500091918,0.330369906477,0.21593686527
 03/19 00:00:00,0.524408150738,0.663136607158,0.0,0.6310044003459999,0.0,0.010949470356999998,0.010949470356999998,0.010949470356999998,0.058325483275699995,0.0104787649463,0.0489217041384,0.2732662339,0.11193649412000001
 03/19 01:00:00,0.42924183696900003,0.80329888673,0.0,0.7726548231029999,0.0,0.013407451797599999,0.013407451797599999,0.013407451797599999,0.034630750926300004,0.00622176583015,0.0463304374239,0.25160622016399997,0.0665152108263
 03/19 02:00:00,0.40253383216,0.901898770722,0.0,0.878143353002,0.0,0.015237935912299999,0.015237935912299999,0.015237935912299999,0.0236947292974,0.00425699856787,0.0441181131503,0.24868904659699997,0.056007008634900005
